Date,Name,Neighborhood,Price,URL,Recommend?
May 16,One Level Loft Condo Near SF Flower Market,(SOMA / south beach),$2700,http://sfbay.craigslist.org/sfc/apa/5581682245.html,YES
May 23,"SoMa - 1 BR, 1.5 BA Condo 830 Sq. Ft. - Loft Style Condo w Parking",(SOMA / south beach),$3850,http://sfbay.craigslist.org/sfc/apa/5601014726.html,YES
May 23,Spacious SOMA Loft that Will Make Your Jaw Drop,(SOMA / south beach),$5995,http://sfbay.craigslist.org/sfc/apa/5600957831.html,YES
May 23,"BEAUTIFUL, SUNNY Loft Near Twitter - $3400",(SOMA / south beach),$3400,http://sfbay.craigslist.org/sfc/apa/5600890567.html,YES
May 23,"High Ceilings, Natural Light, and Parking Included in this Loft",(san francisco),$3595,http://sfbay.craigslist.org/sfc/apa/5584878995.html,N/A
May 23,Perfect for Roommates! One Bedroom with Loft!,(SOMA / south beach),$3276,http://sfbay.craigslist.org/sfc/apa/5600831783.html,YES
May 23,"High Ceilings, Natural Light, and Parking Included in this Loft",(san francisco),$3599,http://sfbay.craigslist.org/sfc/apa/5593003955.html,N/A
May 23,NY Style Brick & Timber Conversion Loft w/ Enclosed Bedroom **Video**,(SOMA / south beach),$3795,http://sfbay.craigslist.org/sfc/apa/5600798511.html,YES
May 23,"2BD 2.5BA Expansive Tri-Level Soma Loft, Garage Parking, Pets OK",(SOMA / south beach),$4600,http://sfbay.craigslist.org/sfc/apa/5590893989.html,YES
May 23,Loft-Condo w/ 2 Enclosed BR's & Large Loft w/ Prvt Patio & Pkg,(SOMA / south beach),$5900,http://sfbay.craigslist.org/sfc/apa/5589760834.html,YES
May 23,g2 Lofts: 1641 18th St. - Avail June 15th,(potrero hill),$5300,http://sfbay.craigslist.org/sfc/apa/5578068617.html,N/A
May 23,"York Street Studios: 2711 18th St. #8 - Furnished, 12mo+, Jul 1",(mission district),$3750,http://sfbay.craigslist.org/sfc/apa/5594698095.html,N/A
May 23,START UP!!! NEED SPACE?? Commercial Live/work,(SOMA / south beach),$4150,http://sfbay.craigslist.org/sfc/apa/5586665766.html,YES
May 23,"Amazing Modern Loft! Patio, Views, Upgrades & LOCATION! *Pics!*",(SOMA / south beach),$4250,http://sfbay.craigslist.org/sfc/apa/5600289216.html,YES
May 23,"ARE Modern Loft! Huge Private Terrace, Upgrades, Amenities & Loc!",(SOMA / south beach),$5500,http://sfbay.craigslist.org/sfc/apa/5600285106.html,YES
May 23,"Stunning Modern Loft! Upgrades, Patio, Amenities, LOCATION!!! *pics!*",(SOMA / south beach),$4750,http://sfbay.craigslist.org/sfc/apa/5600274332.html,YES
May 23,Huge Modern 3 level Loft Condo in the Dogpatch/Mission Bay Area,(SOMA / south beach),$4500,http://sfbay.craigslist.org/sfc/apa/5592746615.html,YES
May 23,Huge Sleek & Modern House-like 3 level Loft Condominium in the Dogpatc,(potrero hill),$4500,http://sfbay.craigslist.org/sfc/apa/5600259203.html,N/A
May 23,"ClockTower 1bed/2bath LIVE/WORK LOFT w/parking, w/d",(SOMA / south beach),$5995,http://sfbay.craigslist.org/sfc/apa/5600236774.html,YES
May 23,Beautiful 2 Bed/2.5 Ba Tri Level LOFT--PARKING--W/D--GREAT LOC---PARAG,(hayes valley),$4250,http://sfbay.craigslist.org/sfc/apa/5592818842.html,N/A
May 23,"Historic Victorian Studio with Sleeping Loft, Garden, Pets OK",(mission district),$2595,http://sfbay.craigslist.org/sfc/apa/5600155980.html,N/A
May 23,Room available in a bedroom + loft apt,(SOMA / south beach),$1430,http://sfbay.craigslist.org/sfc/apa/5599696010.html,YES
May 22,Central Cozy Downtown Loft Studio,(downtown / civic / van ness),$2195,http://sfbay.craigslist.org/sfc/apa/5599657314.html,N/A
May 22,Furnished 1bd/1.5ba SOMA Loft w/pkg ~ J.Wavro,(SOMA / south beach),$4850,http://sfbay.craigslist.org/sfc/apa/5599481894.html,YES
May 22,2 BR / 2.5 BA Dogpatch / Potrero tri-level loft avail 7/1,(potrero hill),$4500,http://sfbay.craigslist.org/sfc/apa/5566585819.html,N/A
May 22,Live/Work Loft in the Heart of Downtown SF (Couples Welcome),(downtown / civic / van ness),$2195,http://sfbay.craigslist.org/sfc/apa/5563872657.html,N/A
May 22,SOMA 1bdr/2ba Loft,(SOMA / south beach),$4200,http://sfbay.craigslist.org/sfc/apa/5599277735.html,YES
May 22,Luxurious Loft 1/2 Block off Fillmore,(lower pac hts),$5000,http://sfbay.craigslist.org/sfc/apa/5599232917.html,N/A
May 22,1 bed 1.5 baths Located in the heart of North Slope Potrero,(potrero hill),$3550,http://sfbay.craigslist.org/sfc/apa/5599057421.html,N/A
May 22,One Bedroom Loft Near Union Square,(downtown / civic / van ness),$3360,http://sfbay.craigslist.org/sfc/apa/5599043574.html,N/A
May 22,"SoMa - 1 BR, 1.5 BA Condo 830 Sq. Ft. - Loft Style Condo w Parking",(SOMA / south beach),$3850,http://sfbay.craigslist.org/sfc/apa/5598827280.html,YES
May 22,Beautiful Contemporary Loft 2.4Ba Available April 30th,(mission district),$4750,http://sfbay.craigslist.org/sfc/apa/5563288428.html,N/A
May 22,Spacious & Bright 2BR/2BA Loft on Quiet Alley! ~ J.Wavro,(SOMA / south beach),$4200,http://sfbay.craigslist.org/sfc/apa/5598417580.html,YES
May 22,live/work - NY style 1200+sf loft +den ~ J.Wavro,(SOMA / south beach),$5500,http://sfbay.craigslist.org/sfc/apa/5598413408.html,YES
May 22,+++ Book Concern Lofts is an efficiency loft Studio +++,(downtown / civic / van ness),$1950,http://sfbay.craigslist.org/sfc/apa/5598295860.html,N/A
May 21,"Light-filled loft, exc loc, W/D, util&wifi incl - Open House Sat,Sun",(SOMA / south beach),$3500,http://sfbay.craigslist.org/sfc/apa/5593481821.html,YES
May 21,Stylish Live/Work Loft. 2 bedroom with den. ~ J.Wavro,(SOMA / south beach),$4650,http://sfbay.craigslist.org/sfc/apa/5598024981.html,YES
May 21,Amazing 2 Bed/2.5 Bath Tri Level LOFT--Parking-Huge Private Patio--W/D,(hayes valley),$4250,http://sfbay.craigslist.org/sfc/apa/5591002475.html,N/A
May 21,"High Ceilings, Natural Light, and Parking Included in this Loft",(san francisco),$3595,http://sfbay.craigslist.org/sfc/apa/5583259120.html,N/A
May 21,One Bedroom with Loft Includes Parking,(potrero hill),$3800,http://sfbay.craigslist.org/sfc/apa/5597344272.html,N/A
May 21,"SoMa - 1 BR, 1.5 BA Condo 830 Sq. Ft. - Loft Style Condo w Parking",(SOMA / south beach),$3850,http://sfbay.craigslist.org/sfc/apa/5597086256.html,YES
May 21,Chic 1BR/1.5BA Lighthouse Loft-Avail 6/1,(SOMA / south be,$4750,http://sfbay.craigslist.org/sfc/apa/5597083873.html,YES
May 20,Architectural Loft in North Beach Available June 1st,(north beach / telegraph hill),$3500,http://sfbay.craigslist.org/sfc/apa/5573553117.html,N/A
May 20,Only 1 Left! Hurry! Great Studio-Loft Homes. Open Sat/Sun.,(SOMA / south beach),$3877,http://sfbay.craigslist.org/sfc/apa/5596355235.html,YES
May 20,"High Ceilings, Natural Light, and Parking Included in this Loft",(san francisco),$3595,http://sfbay.craigslist.org/sfc/apa/5558310024.html,N/A
May 20,"High Ceilings, Natural Light, and Parking Included in this Loft",(san francisco),$3599,http://sfbay.craigslist.org/sfc/apa/5589579575.html,N/A
May 20,SMART LOFT ON THE NORTH SLOPE-OPEN THIS WEEKEND!,(potrero hill),$3800,http://sfbay.craigslist.org/sfc/apa/5564143537.html,N/A
May 20,Modern City Living! One Bedroom w/ Loft,(SOMA / south beach),$3289,http://sfbay.craigslist.org/sfc/apa/5595907903.html,YES
May 20,"Amazing Modern Loft! Patio, Views, Upgrades & LOCATION! *Pics!*",(SOMA / south beach),$4250,http://sfbay.craigslist.org/sfc/apa/5595832880.html,YES
May 20,"Stunning Modern Loft! Upgrades, Patio, Amenities, LOCATION!!! *pics!*",(SOMA / south beach),$4750,http://sfbay.craigslist.org/sfc/apa/5595826602.html,YES
May 20,Furnished 1bd/1.5ba SOMA Loft w/pkg ~ J.Wavro,(SOMA / south beach),$4850,http://sfbay.craigslist.org/sfc/apa/5595678216.html,YES
May 20,Apartment Loft with Amazing Location (ideal for a couple),(SOMA / south beach),$2195,http://sfbay.craigslist.org/sfc/apa/5562776067.html,YES
May 20,Once in a Lifetime Opportunity! Located on Market st. (Move in Ready L,(SOMA / south beach),$2195,http://sfbay.craigslist.org/sfc/apa/5568248194.html,YES
May 20,"SoMa - 1 BR, 1.5 BA Condo 830 Sq. Ft. - Loft Style Condo w Parking",(SOMA / south beach),$3850,http://sfbay.craigslist.org/sfc/apa/5595464047.html,YES
May 20,Furnished LOFT Available 06/02!,(San Francisco),$4095,http://sfbay.craigslist.org/sfc/apa/5595409812.html,N/A
Average Price:,3951
